epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.7268805768754747,0.21180555555555555,1.7302565574645996,0.16666666666666666,0.0005
2,1.5723745226860046,0.5451388888888888,1.4882684018876817,0.6666666666666666,0.0005
3,1.3984243008825514,0.6319444444444444,1.247670504781935,0.6666666666666666,0.0005
4,1.2469029029210408,0.6597222222222222,1.0720335245132446,0.6666666666666666,0.0005
5,1.1163780755466886,0.6701388888888888,0.9208687676323785,0.6666666666666666,0.0005
6,1.0028948452737596,0.6631944444444444,0.7891500459776984,0.6944444444444444,0.0005
7,0.8966082202063667,0.7048611111111112,0.6958074304792616,0.7222222222222222,0.0005
8,0.805232865942849,0.6875,0.6209537718031142,0.7777777777777778,0.0005
9,0.7167671985096402,0.7326388888888888,0.5561844706535339,0.8194444444444444,0.0005
10,0.6621448116170036,0.7638888888888888,0.515394369761149,0.8333333333333334,0.0005
11,0.6159651146994697,0.7916666666666666,0.47132327159245807,0.8888888888888888,0.0005
12,0.7403943687677383,0.7048611111111112,0.45882882012261283,0.9027777777777778,0.0005
13,0.6549926383627785,0.7569444444444444,0.4225582546657986,0.8611111111111112,0.0005
14,0.5547993332147598,0.7986111111111112,0.4024413824081421,0.9166666666666666,0.0005
15,0.5888576375113593,0.7916666666666666,0.3822826047738393,0.9027777777777778,0.0005
16,0.5589212510320876,0.7986111111111112,0.3706565002600352,0.9027777777777778,0.0005
17,0.4971922453906801,0.8298611111111112,0.3528950247499678,0.9305555555555556,0.0005
18,0.44729702588584686,0.8611111111111112,0.33065806163681877,1.0,0.0005
19,0.46160222176048493,0.8645833333333334,0.30545086330837673,0.9722222222222222,0.0005
20,0.49209074344899917,0.8159722222222222,0.2903565499517653,0.9861111111111112,0.00025
21,0.4386775973770354,0.8680555555555556,0.2835312287012736,0.9722222222222222,0.00025
22,0.4009510940975613,0.875,0.27523671918445164,1.0,0.00025
23,0.3903598470820321,0.8680555555555556,0.2617879841062758,0.9722222222222222,0.00025
24,0.4708373405867153,0.8298611111111112,0.2569761375586192,0.9583333333333334,0.00025
25,0.44957732823159957,0.8402777777777778,0.2532002561622196,0.9861111111111112,0.00025
26,0.3845837612946828,0.8854166666666666,0.24799716803762648,1.0,0.00025
27,0.44639330191744697,0.8506944444444444,0.23932182788848877,1.0,0.00025
28,0.4843216256962882,0.7951388888888888,0.23374071386125353,0.9861111111111112,0.00025
29,0.4646258403857549,0.8263888888888888,0.23138936360677084,0.9722222222222222,0.00025
30,0.38336871978309417,0.8888888888888888,0.22562920384936863,0.9722222222222222,0.00025
31,0.3312176979250378,0.8958333333333334,0.21922719478607178,1.0,0.00025
