epoch,lr,train_loss,train_acc,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro
1,0.0009972609476841367,1.3567300312559516,0.5227139793332034,1.1579330227427063,0.4598597038191738,0.5332528099341198,0.516127098321343,0.42273624412281485
2,0.0009890738003669028,0.575875471781327,0.7896276077208033,0.6660873515013132,0.7318784099766174,0.7733322413720429,0.7591177058353318,0.7368667132046074
3,0.0009755282581475768,0.37080490102798624,0.8631312146617275,0.42711540549668314,0.8277474668745128,0.8364149317682895,0.8453737010391686,0.8231384607157329
4,0.0009567727288213003,0.2632032602678256,0.9007603821407681,0.32985391035176587,0.8659392049883087,0.8761761281552275,0.8790867306155076,0.861125481871602
5,0.0009330127018922195,0.29943473459591663,0.8904269838175083,0.6601369022242928,0.734996102883866,0.7858909243390075,0.7627348121502797,0.7248462976936633
6,0.0009045084971874739,0.2766600876267971,0.8962760772080327,0.2723168698157636,0.9080280592361653,0.8889742003193482,0.9160621502797761,0.8908572427247174
7,0.0008715724127386972,0.1929138573865301,0.929420939754338,0.21164365029158486,0.9173811379579111,0.9169945235192023,0.9254446442845724,0.9164526719182595
8,0.0008345653031794292,0.17142114346074497,0.9379996100604406,0.17449640012937812,0.9407638347622759,0.9242990521602596,0.9461730615507595,0.9318360493649356
9,0.0007938926261462366,0.14583588146046603,0.9495028270618054,0.1539421278231328,0.9407638347622759,0.9319625271479731,0.9465927258193445,0.937667469796992
10,0.00075,0.15432777358765581,0.9473581594852798,0.4714338505584006,0.8176149649259548,0.8678506078968795,0.835611510791367,0.7979415865487849
11,0.0007033683215379003,0.19356929598716435,0.9296159095340222,0.1602866377547929,0.9423226812159002,0.9336630536399719,0.9478766986410871,0.9378476425661917
12,0.0006545084971874739,0.12803014519401615,0.9574965880288555,0.148246973735554,0.9423226812159002,0.9360367420700128,0.9439415134559019,0.9387454818750126
13,0.0006039558454088797,0.13309625978386408,0.9549619808929616,0.16255393048744018,0.9446609508963367,0.9290054082948627,0.949435451638689,0.9365094690812836
14,0.0005522642316338269,0.1090138052715663,0.9637356209787483,0.16043534480682803,0.9469992205767732,0.9325857456073761,0.9515187849720225,0.9388014378318038
15,0.0005000000000000002,0.11618628948861556,0.9596412556053812,0.15284054358987048,0.950896336710834,0.9299347883860398,0.9550959232613909,0.9385813465656783
16,0.0004477357683661734,0.11928173482235029,0.9600311951647494,0.13815677748878347,0.9477786438035853,0.933670017036784,0.952632893685052,0.9398021017851903
17,0.00039604415459112036,0.10545709928242371,0.9668551374536947,0.10999858851122814,0.9633671083398285,0.9476368463614797,0.9666266986410871,0.9550819274250562
18,0.0003454915028125264,0.07425912770103656,0.9742639890816923,0.10535356340260592,0.9633671083398285,0.9520794487978601,0.9668365307753797,0.958144373926535
19,0.00029663167846210003,0.09231435966787456,0.9680249561317996,0.10584075233462795,0.9641465315666407,0.9460214255355316,0.967111310951239,0.9542749220396524
20,0.00025000000000000017,0.08963564693997492,0.9707545330473777,0.10519063770908947,0.9633671083398285,0.9472929546388466,0.9665217825739408,0.955150280124796
21,0.00020610737385376354,0.08816833198426423,0.9697796841489569,0.1076917986146705,0.9633671083398285,0.9476583950276939,0.9666266986410871,0.9550779146891559
22,0.00016543469682057108,0.07967799774275396,0.9762136868785338,0.0855400829636931,0.9734996102883866,0.95654493550807,0.9756544764188649,0.9642141847710151
23,0.00012842758726130303,0.06938118873852972,0.9762136868785338,0.11038564148795263,0.961028838659392,0.9452419004262899,0.9644384492406074,0.9528330786957747
24,9.549150281252637e-05,0.0706139576727033,0.9787482940144278,0.11877483124383786,0.961028838659392,0.9455727785769414,0.9645433653077536,0.9529344934749214
25,6.698729810778068e-05,0.06513070899373631,0.9797231429128485,0.11491396850002573,0.9594699922057678,0.9444651179062724,0.9631544764188649,0.9514432927291386
26,4.322727117869953e-05,0.07476422375641498,0.9734841099629558,0.09250046334622118,0.9719407638347622,0.9548979092871698,0.9742655875299759,0.9628123008825836
27,2.447174185242324e-05,0.060755396472443775,0.9806979918112693,0.0925875970108735,0.9664848012470771,0.950010915031976,0.9694044764188648,0.9577859409476002
28,1.092619963309716e-05,0.050659746365237825,0.985572236303373,0.10090632977716142,0.965705378020265,0.9494905857254916,0.9687100319744205,0.957135885517296
29,2.7390523158633003e-06,0.058672000290155936,0.9824527198284266,0.10274173388045661,0.9641465315666407,0.9481772907294999,0.9673211430855315,0.9557025913429812
30,0.0,0.05053380159884517,0.9849873269643206,0.1025035402647547,0.9649259547934529,0.9488282544226182,0.9680155875299761,0.9564184660301392
