epoch,loss_G,loss_GAN,loss_cycle,loss_identity,loss_D_A,loss_D_B
1,9.388426783555996,1.0616039623043494,5.680564343572377,2.646258443415522,0.4577571317821206,0.4662706961710296
2,7.475506545540815,0.7685712450992561,4.6199182321925365,2.087017059326172,0.2555506240108056,0.24372301844065775
3,6.871385971229233,0.7990044888978947,4.174400844973718,1.8979806657322866,0.24661779939057585,0.2221864867888525
4,6.581200282730742,0.8095277305134756,3.963655704509712,1.8080168177267748,0.23353242865222656,0.2106098879775601
5,6.412380018633996,0.8318440141435155,3.821801712413034,1.7587342940404744,0.2291445104840273,0.21151277860124668
6,6.285766927068105,0.8479790375261249,3.7206339650525306,1.7171539296647031,0.21121687700826966,0.20238779280000105
7,5.999480418816298,0.7969224715304232,3.569898485423562,1.6326594781019017,0.37324000395343687,0.20700483961019686
8,5.790179860806036,0.7055079255275384,3.49116385625508,1.5935080886600974,0.2381718853812018,0.20119238314692844
9,5.633972964600889,0.746851129089287,3.3428077426499234,1.5443140860803113,0.2287369211633762,0.20020257418384096
10,5.686559702821834,0.8077393095650359,3.339736100442395,1.5390842953128014,0.22521392385402839,0.18320379740820675
11,5.610320231157862,0.8360461515937737,3.265911163684137,1.5083629049940737,0.2170145244833952,0.17866037674471288
12,5.592790714994876,0.8227422260595653,3.264731659860668,1.505316833536068,0.21502446931993177,0.17102363406719562
13,5.531469810508682,0.8372717287369117,3.209852221483242,1.484345863679212,0.20602696406805587,0.17263184184442737
14,5.657772575309891,0.8670825585276781,3.277527726339009,1.5131623016859956,0.212656161563839,0.15597072542606
15,5.34398693096138,0.7987303921205555,3.104575295648175,1.440681254078528,0.20885997301268722,0.17077141107913263
16,5.304365317978545,0.8000699667159669,3.0879991340066146,1.4162962008379176,0.20747967470370368,0.1751277713093929
17,5.2563104201219755,0.8059631873390631,3.0541711253320387,1.3961760962080814,0.20388152347710317,0.17910928319314282
18,5.135054793900358,0.8048622085305746,2.97346765266921,1.3567249446571945,0.20496471770509275,0.17091876388845328
19,5.065563613069272,0.7911132226090232,2.9360246544112703,1.3384257519316531,0.20645145001168735,0.17530854416643074
20,5.062747966743515,0.7912547195742944,2.945865642524765,1.3256276132103926,0.20530452324958617,0.17900259190512274
21,4.953299536676464,0.7909474845774873,2.866982481436815,1.2953695637023377,0.21130014313552195,0.17854136411479848
22,4.975631719577812,0.7986787227456441,2.887731179505765,1.2892217928777912,0.20365060540194996,0.17996442077045668
23,4.901559901094722,0.775845380421884,2.8459214536015858,1.2797930783140445,0.20499093464748588,0.18015362184026285
24,4.871548541291745,0.7906048747593771,2.8251378236416573,1.2558058600225848,0.20683460847703283,0.17726032931112243
25,4.772330937985175,0.7681616082519829,2.7636522689979235,1.240517063769038,0.2142700922792543,0.17631794329353434
26,4.708271913185805,0.7906566708387729,2.7046403185336176,1.2129749352346637,0.21175126142487555,0.17670455133308194
27,4.6749613399277195,0.795413270503461,2.679397797156237,1.20015026994808,0.2042662764559249,0.18097627345851797
28,4.594915043094201,0.7776039924450263,2.6392331037692682,1.1780779397416257,0.21325038029940543,0.18009442220369498
29,4.617166583409566,0.8038372611571215,2.637325285437578,1.176004022895219,0.20280510450373151,0.18645340289005977
30,4.684590027003945,0.804703510628489,2.6897513795041754,1.1901351338375115,0.20290688715295163,0.17229449735608643
31,4.5758336147148455,0.8050949907231474,2.6141683070245616,1.156570305724344,0.2092364274723801,0.16970555836747506
32,4.534582961819129,0.7937727807881589,2.601884673455518,1.1389254924066052,0.20414813946999474,0.16892624409969695
33,4.563079736903756,0.8238146983220905,2.5990594475569124,1.1402055942369793,0.20229748953245358,0.16826558113098145
34,4.476962794800718,0.8305428584892592,2.5313184132832967,1.1151015333786696,0.20111894585236817,0.16529708444893718
35,4.464964269877908,0.8414879644702294,2.5185400825774598,1.104936236036038,0.19763926929699446,0.17227400005042195
36,4.345661578778022,0.8198645584240645,2.4486214186617,1.0771756165041895,0.20248027797230703,0.1730744141393793
37,4.413284367429996,0.8290677243720985,2.4931397537985247,1.091076892650056,0.2031987342916563,0.16745274201660099
38,4.4093538387093005,0.8292756844423488,2.4935314669580517,1.0865466808844468,0.20107336850937255,0.1699138633505313
39,4.403566241978171,0.8522612527458967,2.472317303012231,1.0789876890753558,0.20531248412803263,0.16636311923136968
40,4.370655136907886,0.8395628083251907,2.454775324838604,1.0763170248020195,0.19807622394340482,0.16391705275474194
41,4.33092995746407,0.874385205928437,2.4040644482938114,1.0524802825408068,0.19506827938164065,0.16230522056004246
42,4.301522574738828,0.8628981013497906,2.4006194961285163,1.038004976546693,0.1968709119779621,0.15803548921189622
43,4.241037617186587,0.8501934560830008,2.366797078155472,1.024047077059032,0.1951886656398545,0.1562150029722088
44,4.301832637387122,0.8825510668897343,2.3873851327839013,1.03189645484536,0.20097885472688845,0.15884044253362153
45,4.231282681048273,0.8628673965702514,2.3584218510610615,1.0099934250294804,0.19887766179567326,0.16041555853482492
46,4.195764177573655,0.8604903943881304,2.33218321471871,1.0030905761404665,0.19591833303074638,0.15718042689883066
47,4.204140257692623,0.8861132317674374,2.3255965859590177,0.9924304314002306,0.19144547476383025,0.15391390239764116
48,4.119541813513476,0.8809613987000403,2.264383922793908,0.9741964807767354,0.19817240491598667,0.16266471147537231
49,4.082893027516896,0.860400412789362,2.253607672845532,0.9688849356360064,0.19655128385492426,0.17472293357292334
50,4.161277075727543,0.8897002068108427,2.291188884638027,0.9803879760696502,0.19274214097482714,0.14037920550225738
51,4.1516686970602255,0.8745846623432136,2.304217226491003,0.972866803229212,0.1908353856223786,0.14599745885697668
52,4.0990495167806476,0.8935868734728076,2.2484063616769756,0.9570562796678371,0.19106642192530776,0.1536027967572926
53,4.077612755541316,0.9126138444432241,2.2168853718363595,0.9481135435447008,0.18212517591829072,0.1487465708957104
54,4.158954047871207,0.9108099914239552,2.2767934342344365,0.9713506309572094,0.18709308310540138,0.1460923767553832
55,4.116867021172347,0.8997261841853935,2.2553350318691687,0.9618058158252054,0.18792249936008168,0.1435776299345279
56,4.012599298340118,0.9230775900943551,2.1648090985006916,0.9247126097450713,0.1914618907574408,0.1484130563404032
57,4.0323212161035595,0.9112617680412567,2.1949399859605436,0.9261194724522664,0.1859186462567238,0.14598272553461042
58,3.971617488803978,0.8880668696529137,2.169975132999306,0.9135755129203111,0.18808200134488637,0.16012578140832706
59,4.025995208831604,0.9204314179763109,2.1875508773826553,0.918012912044982,0.18698536261113105,0.14095077467357328
60,3.942770833740691,0.9099370871118443,2.1346496450686883,0.8981841013817016,0.18652408030218706,0.14488033178502213
61,3.9308488411817724,0.9158977311171458,2.122425726787773,0.8925253898797635,0.18013202390092575,0.14231171592802344
62,3.9813183053524908,0.9493210829660564,2.143526114389568,0.8884711154920613,0.180144476230273,0.1378224871071156
63,3.9222480322786435,0.9240157374007973,2.1084101271486566,0.8898221789719816,0.18574427001312108,0.14416562926448034
64,3.9154432633679783,0.9316267160598389,2.1063496288425196,0.8774669213209324,0.17989295921818224,0.13444879490458322
65,3.8982680771879092,0.9425703404906267,2.077841397531018,0.8778563309572414,0.17783509556226387,0.1360081191994473
66,3.9411876487160873,0.9423742180099031,2.1170601459320433,0.8817532897709373,0.17739801148989956,0.13338926807045937
67,3.9890878086318513,0.9708279217788559,2.130579431613762,0.8876804634482561,0.17880583045903795,0.14065215326176433
68,3.959470885956359,0.962911395969505,2.1177593762289266,0.8788001208962081,0.17744720504134,0.12825008838654992
69,3.8646298853937022,0.9584112845495075,2.0501484164220845,0.8560701783545717,0.17680275837282936,0.1269559157778046
70,3.8881044344987696,0.9667370785139278,2.0677363244359364,0.8536310342257608,0.17370298834974895,0.1278941167551957
71,4.032798998370142,1.097691976381633,2.073579581197864,0.8615274379353324,0.17859198099481846,0.2808124289630416
72,3.4917609620237067,0.7250712331897484,1.9362404168009044,0.8304493163160221,0.17441666041484136,0.24272971952746727
73,3.475302183699465,0.7514475146810452,1.906844834367672,0.8170098159127607,0.1684683571586352,0.23089332200452953
74,3.4918363294201695,0.7571528559316418,1.921290468313023,0.8133929882220879,0.17843196353691068,0.21137092552499143
75,3.6680704076846915,0.8615036974410097,1.9819211167489696,0.8246455842149472,0.17612565014355197,0.16066795288624164
76,3.7261490893221185,0.9190877215591019,1.9887478315901614,0.8183135261792622,0.16801870172609112,0.13533738554416302
77,3.738745426703356,0.9414289465207539,1.9833207365995396,0.8139957389431799,0.1663338579906675,0.12660357949441065
78,3.7660601695854505,0.9529634178755526,1.9964450376476357,0.8166517187021449,0.1669531721108688,0.12802845857546716
79,3.8715294521011994,0.9905693773737925,2.0445555805446145,0.836404492398222,0.1724589549585017,0.12606744791665478
80,4.34355829004756,1.1035193497549274,2.296024590909124,0.9440143475989382,0.15067231365128192,0.09764045965439545
81,5.039954142656155,1.1982937972702665,2.726042703954046,1.1156176510685218,0.5548301170061448,0.11216392559919529
82,3.7584998479146443,0.8626365049513515,2.039250343859553,0.856612988217862,0.24204246690887177,0.11482765989567706
83,3.6184975458476356,0.8728257687148934,1.9281439017392918,0.8175278794979621,0.23839304029584646,0.11989761991593652
84,3.538266941458879,0.8687181485270312,1.876775050591566,0.7927737296698336,0.2386710259193432,0.11511825366380686
85,3.535506197078499,0.882850116598392,1.864860756668502,0.7877953380881669,0.240220765689176,0.12011239126681568
86,3.4742855554569267,0.8535666706676255,1.8380964780282119,0.7826223930198989,0.2435961223826437,0.12130650467501429
87,3.4437257386967093,0.8735711106997051,1.8109560119891595,0.7591986113679623,0.2400048439374227,0.11857813614571167
88,3.466136933800703,0.8886898843471162,1.807703742010151,0.7697433001266982,0.24092805144672622,0.12025052351419797
89,3.460746579541418,0.8931647810393465,1.8063015109764602,0.7612802985899463,0.2418913124742622,0.12083066368620553
90,3.448025851906417,0.8960099363041495,1.7958733357355265,0.7561425795098264,0.23977702900678097,0.11656720751149212
91,3.399200349510787,0.8748535685196608,1.778937095653511,0.7454096856945289,0.2386303354880053,0.12749235713464058
92,3.4102313732672593,0.8903006593624275,1.777716146257823,0.7422145662193527,0.24024985427271106,0.12643708627737923
93,3.430799328638408,0.904804571838436,1.7806510889601566,0.745343662664562,0.2351995552192905,0.1220479997064539
94,4.5195260033636036,1.27909598022164,2.2971777737497567,0.9432522372571294,0.22905194072309368,0.7429535956886
95,3.568223222287115,0.6609865268190463,2.0257972014878325,0.881439507721427,0.22685155290329528,0.23690579617451765
96,3.2092035187932546,0.6536488791782699,1.7726886108249962,0.7828660268269613,0.22698171133409717,0.23986684071446607
97,3.133860707996848,0.6537320185564235,1.7226033018020812,0.7575253890659994,0.22256082224988652,0.24264466253940217
98,3.146299888987741,0.6763935205108391,1.7232168848643046,0.7466894837910544,0.20085271630815404,0.23948759331317718
99,3.158898464933841,0.7187092907414465,1.7122797252175337,0.7279094575407976,0.18339302658499357,0.23790118990544074
100,3.1474457700809317,0.735063857661036,1.6910136531213087,0.7213682521603064,0.17491571386595686,0.23855848869163834
101,3.172891044331168,0.7330815397693725,1.7171330294923155,0.722676474891023,0.175552904695094,0.23820658501036868
102,3.193726952204447,0.7513834039965076,1.722071726165132,0.7202717954527118,0.16725941475280032,0.2379642894525014
103,3.1815644452671803,0.7562859201145743,1.7132449442754962,0.7120335808771099,0.1685967303500204,0.2396544583007961
104,3.1571131295072816,0.7595397867485435,1.6929986169952118,0.7045747420031153,0.16364478529570345,0.23558893300102143
105,3.1626699927324307,0.768254156062703,1.6956745000656492,0.6987413389240197,0.16492795886215336,0.23290289269236034
106,3.1367356877127093,0.7678084307445023,1.6761571739962,0.6927700738706989,0.16293990554031498,0.2372314726521155
107,3.0957533699309754,0.7544985383213637,1.6593783594177154,0.6818764787948061,0.1636087884624561,0.23302589107059432
108,3.0842694636590466,0.7661331870598708,1.641521796494901,0.6766144826026734,0.1638019050131301,0.2349395478021599
109,3.1000971679915925,0.7792794865048575,1.6474965996371058,0.6733210889879101,0.163473127710962,0.23325797442547574
110,3.1221458869066065,0.7882395756101894,1.6577915231624762,0.6761147983059912,0.15980724963599335,0.22523003557841934
111,3.1132818253454335,0.7976255852305246,1.6488645276623572,0.6667917035297005,0.16013557579881416,0.22937077105402232
112,3.128910330241312,0.8002816713498738,1.660990938455045,0.6676377172241668,0.15906477880156683,0.22505848984161536
113,3.092039862078821,0.7979258912766051,1.6387501769437047,0.655363776726637,0.1567193884514049,0.21504600123017134
